time,target,sensor,P,I,D,ds
395,200,231,310.000000,-6.101333,0.000000,303.898667
396,200,231,310.000000,-6.035200,0.000000,303.964800
397,200,231,310.000000,-5.969067,0.000000,304.030933
398,200,228,280.000000,-5.909333,-70.312500,203.778167
399,200,228,280.000000,-5.849600,0.000000,274.150400
400,200,228,280.000000,-5.789867,0.000000,274.210133
401,200,228,280.000000,-5.730133,0.000000,274.269867
402,200,228,280.000000,-5.670400,0.000000,274.329600
403,200,228,280.000000,-5.610667,0.000000,274.389333
404,200,228,280.000000,-5.550933,0.000000,274.449067
405,200,228,280.000000,-5.491200,0.000000,274.508800
406,200,228,280.000000,-5.431467,0.000000,274.568533
407,200,228,280.000000,-5.371733,0.000000,274.628267
408,200,224,240.000000,-5.320533,-93.750000,140.929467
409,200,224,240.000000,-5.269333,0.000000,234.730667
410,200,224,240.000000,-5.218133,0.000000,234.781867
411,200,224,240.000000,-5.166933,0.000000,234.833067
412,200,224,240.000000,-5.115733,0.000000,234.884267
413,200,222,220.000000,-5.068800,-46.875000,168.056200
414,200,222,220.000000,-5.021867,0.000000,214.978133
415,200,222,220.000000,-4.974933,0.000000,215.025067
416,200,222,220.000000,-4.928000,0.000000,215.072000
417,200,228,280.000000,-4.868267,140.625000,415.756733
418,200,228,280.000000,-4.808533,0.000000,275.191467
419,200,228,280.000000,-4.748800,0.000000,275.251200
420,200,228,280.000000,-4.689067,0.000000,275.310933
421,200,228,280.000000,-4.629333,0.000000,275.370667
422,200,229,290.000000,-4.567467,23.437500,308.870033
423,200,229,290.000000,-4.505600,0.000000,285.494400
424,200,229,290.000000,-4.443733,0.000000,285.556267
425,200,229,290.000000,-4.381867,0.000000,285.618133
426,200,229,290.000000,-4.320000,0.000000,285.680000
427,200,233,330.000000,-4.249600,93.750000,419.500400
428,200,233,330.000000,-4.179200,0.000000,325.820800
429,200,233,330.000000,-4.108800,0.000000,325.891200
430,200,233,330.000000,-4.038400,0.000000,325.961600
431,200,233,330.000000,-3.968000,0.000000,326.032000
432,200,225,250.000000,-3.914667,-187.500000,58.585333
433,200,225,250.000000,-3.861333,0.000000,246.138667
434,200,225,250.000000,-3.808000,0.000000,246.192000
435,200,225,250.000000,-3.754667,0.000000,246.245333
436,200,225,250.000000,-3.701333,0.000000,246.298667
437,200,231,310.000000,-3.635200,140.625000,446.989800
438,200,231,310.000000,-3.569067,0.000000,306.430933
439,200,231,310.000000,-3.502933,0.000000,306.497067
440,200,231,310.000000,-3.436800,0.000000,306.563200
441,200,231,310.000000,-3.370667,0.000000,306.629333
442,200,228,280.000000,-3.310933,-70.312500,206.376567
443,200,228,280.000000,-3.251200,0.000000,276.748800
444,200,228,280.000000,-3.191467,0.000000,276.808533
445,200,228,280.000000,-3.131733,0.000000,276.868267
446,200,228,280.000000,-3.072000,0.000000,276.928000
447,200,237,370.000000,-2.993067,210.937500,577.944433
448,200,237,370.000000,-2.914133,0.000000,367.085867
449,200,237,370.000000,-2.835200,0.000000,367.164800
450,200,237,370.000000,-2.756267,0.000000,367.243733
451,200,221,210.000000,-2.711467,-375.000000,-167.711467
452,200,221,210.000000,-2.666667,0.000000,207.333333
453,200,221,210.000000,-2.621867,0.000000,207.378133
454,200,221,210.000000,-2.577067,0.000000,207.422933
455,200,221,210.000000,-2.532267,0.000000,207.467733
456,200,230,300.000000,-2.468267,210.937500,508.469233
